-183.704, 77.960, 1.681,  1.765
-183.702, 77.904, 1.686,  1.798
-183.699, 77.848, 1.692,  1.831
-183.697, 77.791, 1.698,  1.864
-183.695, 77.734, 1.703,  1.897
-183.692, 77.678, 1.709,  1.930
-183.690, 77.621, 1.714,  1.963
-183.688, 77.563, 1.720,  1.996
-183.685, 77.506, 1.726,  2.029
-183.683, 77.448, 1.731,  2.062
-183.681, 77.390, 1.737,  2.095
-183.678, 77.333, 1.743,  2.128
-183.676, 77.274, 1.748,  2.161
-183.673, 77.216, 1.754,  2.194
-183.671, 77.157, 1.760,  2.227
-183.668, 77.099, 1.765,  2.260
-183.666, 77.040, 1.771,  2.293
-183.663, 76.981, 1.777,  2.326
-183.661, 76.921, 1.783,  2.359
-183.658, 76.862, 1.789,  2.392
-183.656, 76.802, 1.795,  2.425
-183.654, 76.742, 1.801,  2.458
-183.651, 76.682, 1.807,  2.491
-183.648, 76.622, 1.812,  2.524
-183.646, 76.561, 1.818,  2.557
-183.643, 76.500, 1.824,  2.590
-183.641, 76.440, 1.830,  2.623
-183.638, 76.378, 1.836,  2.656
-183.636, 76.317, 1.842,  2.689
-183.633, 76.256, 1.848,  2.722
-183.631, 76.194, 1.854,  2.755
-183.628, 76.132, 1.860,  2.788
-183.626, 76.070, 1.866,  2.821
-183.623, 76.008, 1.872,  2.854
-183.620, 75.945, 1.879,  2.887
-183.618, 75.882, 1.885,  2.920
-183.615, 75.819, 1.891,  2.953
-183.613, 75.756, 1.897,  2.986
-183.610, 75.693, 1.903,  3.019
-183.607, 75.629, 1.909,  3.052
-183.605, 75.566, 1.916,  3.085
-183.602, 75.502, 1.922,  3.118
-183.600, 75.438, 1.928,  3.151
-183.597, 75.373, 1.935,  3.184
-183.594, 75.309, 1.941,  3.217
-183.592, 75.244, 1.947,  3.250
-183.589, 75.179, 1.954,  3.283
-183.586, 75.114, 1.960,  3.316
-183.584, 75.048, 1.966,  3.349
-183.581, 74.982, 1.973,  3.382
-183.578, 74.917, 1.979,  3.415
-183.576, 74.850, 1.986,  3.448
-183.573, 74.784, 1.992,  3.481
-183.570, 74.718, 1.999,  3.514
-183.568, 74.651, 2.005,  3.547
-183.565, 74.584, 2.012,  3.580
-183.562, 74.517, 2.018,  3.613
